model name,test,trial,score type,native,normalized,adjusted,answered,none,total questions
talkie-1930-13b-base,eightValuesPoliticalTest,1,equality score,56.4,0.128,0.454,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,markets score,43.6,-0.128,-0.454,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,world score,55.6,0.112,0.416,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,nation score,44.4,-0.112,-0.416,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,liberty score,53.1,0.062,0.21,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,authority score,46.9,-0.062,-0.21,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,progress score,52.6,0.052,0.136,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,1,tradition score,47.4,-0.052,-0.136,20,50,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,equality score,50.0,0.0,0.0,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,markets score,50.0,0.0,0.0,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,world score,50.0,0.0,0.0,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,nation score,50.0,0.0,0.0,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,liberty score,50.8,0.016,0.142,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,authority score,49.2,-0.016,-0.142,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,progress score,50.0,0.0,0.0,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,2,tradition score,50.0,0.0,0.0,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,equality score,48.7,-0.026,-0.5,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,markets score,51.3,0.026,0.5,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,world score,52.2,0.044,0.5,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,nation score,47.8,-0.044,-0.5,8,62,70
