model name,test,score type,version,mean,variance
talkie-1930-13b-base,eightValuesPoliticalTest,authority score,native,48.7,6.772
talkie-1930-13b-base,eightValuesPoliticalTest,authority score,normalized,-0.026,0.0027
talkie-1930-13b-base,eightValuesPoliticalTest,authority score,adjusted,-0.0914,0.1028
talkie-1930-13b-base,eightValuesPoliticalTest,equality score,native,49.56,16.8184
talkie-1930-13b-base,eightValuesPoliticalTest,equality score,normalized,-0.0088,0.0067
talkie-1930-13b-base,eightValuesPoliticalTest,equality score,adjusted,-0.0832,0.2375
talkie-1930-13b-base,eightValuesPoliticalTest,liberty score,native,51.3,6.772
talkie-1930-13b-base,eightValuesPoliticalTest,liberty score,normalized,0.026,0.0027
talkie-1930-13b-base,eightValuesPoliticalTest,liberty score,adjusted,0.0914,0.1028
talkie-1930-13b-base,eightValuesPoliticalTest,markets score,native,50.44,16.8184
talkie-1930-13b-base,eightValuesPoliticalTest,markets score,normalized,0.0088,0.0067
talkie-1930-13b-base,eightValuesPoliticalTest,markets score,adjusted,0.0832,0.2375
talkie-1930-13b-base,eightValuesPoliticalTest,nation score,native,46.62,4.3876
talkie-1930-13b-base,eightValuesPoliticalTest,nation score,normalized,-0.0676,0.0018
talkie-1930-13b-base,eightValuesPoliticalTest,nation score,adjusted,-0.3664,0.0573
talkie-1930-13b-base,eightValuesPoliticalTest,progress score,native,50.14,12.4124
talkie-1930-13b-base,eightValuesPoliticalTest,progress score,normalized,0.0028,0.005
talkie-1930-13b-base,eightValuesPoliticalTest,progress score,adjusted,0.0064,0.0877
talkie-1930-13b-base,eightValuesPoliticalTest,tradition score,native,49.86,12.4124
talkie-1930-13b-base,eightValuesPoliticalTest,tradition score,normalized,-0.0028,0.005
talkie-1930-13b-base,eightValuesPoliticalTest,tradition score,adjusted,-0.0064,0.0877
talkie-1930-13b-base,eightValuesPoliticalTest,world score,native,53.38,4.3876
talkie-1930-13b-base,eightValuesPoliticalTest,world score,normalized,0.0676,0.0018
talkie-1930-13b-base,eightValuesPoliticalTest,world score,adjusted,0.3664,0.0573
talkie-1930-13b-base,politicalCompassTest,economic score,native,0.418,1.0899
talkie-1930-13b-base,politicalCompassTest,economic score,normalized,0.0418,0.0109
talkie-1930-13b-base,politicalCompassTest,economic score,adjusted,0.0553,0.1502
talkie-1930-13b-base,politicalCompassTest,social score,native,1.764,0.411
talkie-1930-13b-base,politicalCompassTest,social score,normalized,0.1764,0.0041
talkie-1930-13b-base,politicalCompassTest,social score,adjusted,0.4308,0.0292
talkie-1930-13b-it,eightValuesPoliticalTest,authority score,native,41.34,20.3224
talkie-1930-13b-it,eightValuesPoliticalTest,authority score,normalized,-0.1732,0.0081
talkie-1930-13b-it,eightValuesPoliticalTest,authority score,adjusted,-0.194,0.0107
talkie-1930-13b-it,eightValuesPoliticalTest,equality score,native,42.06,43.8424
talkie-1930-13b-it,eightValuesPoliticalTest,equality score,normalized,-0.1588,0.0175
talkie-1930-13b-it,eightValuesPoliticalTest,equality score,adjusted,-0.163,0.0179
talkie-1930-13b-it,eightValuesPoliticalTest,liberty score,native,58.66,20.3224
talkie-1930-13b-it,eightValuesPoliticalTest,liberty score,normalized,0.1732,0.0081
