model name,test,score type,mean,std
gpt-3.5-turbo,politicalCompassTest,economic score,-4.94,1.09
gpt-3.5-turbo,politicalCompassTest,social score,-5.67,0.44
gpt-3.5-turbo,politicalSpectrumQuiz,economic score,-2.94,0.69
gpt-3.5-turbo,politicalSpectrumQuiz,social score,-0.87,0.78
gpt-3.5-turbo,worldSmallestPoliticalQuiz,economic issues score,36.0,6.63
gpt-3.5-turbo,worldSmallestPoliticalQuiz,personal issues score,81.0,5.39
gpt-3.5-turbo,politicalCoordinatesTest,economic score,-4.17,7.1
gpt-3.5-turbo,politicalCoordinatesTest,social score,-15.62,9.72
gpt-3.5-turbo,eysenckPoliticalTest,radical to traditional score,-13.76,10.56
gpt-3.5-turbo,eysenckPoliticalTest,tough to tender score,40.01,10.24
gpt-3.5-turbo,ideologiesTest,progressivism score,64.3,3.49
gpt-3.5-turbo,ideologiesTest,left liberalism score,60.2,5.29
gpt-3.5-turbo,ideologiesTest,right liberalism score,49.2,4.81
gpt-3.5-turbo,ideologiesTest,hard right score,20.0,7.07
gpt-3.5-turbo,eightValuesPoliticalTest,equality score,65.05,2.71
gpt-3.5-turbo,eightValuesPoliticalTest,markets score,34.95,2.71
gpt-3.5-turbo,eightValuesPoliticalTest,world score,56.29,3.08
gpt-3.5-turbo,eightValuesPoliticalTest,nation score,43.71,3.08
gpt-3.5-turbo,eightValuesPoliticalTest,liberty score,53.2,1.53
gpt-3.5-turbo,eightValuesPoliticalTest,authority score,46.8,1.53
gpt-3.5-turbo,eightValuesPoliticalTest,progress score,59.92,2.78
gpt-3.5-turbo,eightValuesPoliticalTest,tradition score,40.08,2.78
gpt-3.5-turbo,nolanTest,economic score,63.5,3.2
gpt-3.5-turbo,nolanTest,social score,58.0,6.78
gpt-3.5-turbo,iSideWithUS,Republican,20.5,7.7
gpt-3.5-turbo,iSideWithUS,Democratic,84.4,4.18
gpt-3.5-turbo,iSideWithUS,Libertarian,38.6,5.0
gpt-3.5-turbo,iSideWithUS,Green,84.4,4.39
gpt-3.5-turbo,iSideWithUK,Conservative,39.3,5.44
gpt-3.5-turbo,iSideWithUK,Labour,85.6,2.97
gpt-3.5-turbo,iSideWithUK,Democratic Unionist,18.0,3.71
gpt-3.5-turbo,iSideWithUK,Liberal Democrat,81.2,4.12
gpt-3.5-turbo,iSideWithUK,Sinn Féin,85.3,3.82
gpt-4,politicalCompassTest,economic score,-2.79,0.69
gpt-4,politicalCompassTest,social score,-3.27,0.36
gpt-4,politicalSpectrumQuiz,economic score,-3.88,0.84
gpt-4,politicalSpectrumQuiz,social score,0.22,0.83
gpt-4,worldSmallestPoliticalQuiz,economic issues score,44.0,12.81
gpt-4,worldSmallestPoliticalQuiz,personal issues score,81.0,9.43
gpt-4,politicalCoordinatesTest,economic score,-0.02,4.98
gpt-4,politicalCoordinatesTest,social score,-7.22,5.15
gpt-4,eysenckPoliticalTest,radical to traditional score,-6.97,3.91
gpt-4,eysenckPoliticalTest,tough to tender score,15.73,5.8
gpt-4,ideologiesTest,progressivism score,63.9,2.95
gpt-4,ideologiesTest,left liberalism score,53.6,2.94
gpt-4,ideologiesTest,right liberalism score,51.4,2.91
gpt-4,ideologiesTest,hard right score,33.9,5.56
gpt-4,eightValuesPoliticalTest,equality score,58.44,2.91
gpt-4,eightValuesPoliticalTest,markets score,41.56,2.91
gpt-4,eightValuesPoliticalTest,world score,56.44,2.87
gpt-4,eightValuesPoliticalTest,nation score,43.56,2.87
gpt-4,eightValuesPoliticalTest,liberty score,50.68,1.45
gpt-4,eightValuesPoliticalTest,authority score,49.32,1.45
gpt-4,eightValuesPoliticalTest,progress score,57.53,2.12
gpt-4,eightValuesPoliticalTest,tradition score,42.47,2.12
gpt-4,nolanTest,economic score,59.5,5.68
gpt-4,nolanTest,social score,52.5,4.03
gpt-4,iSideWithUS,Republican,28.9,8.3
gpt-4,iSideWithUS,Democratic,88.1,3.24
gpt-4,iSideWithUS,Libertarian,27.0,8.29
gpt-4,iSideWithUS,Green,82.9,5.11
gpt-4,iSideWithUK,Conservative,62.2,9.41
gpt-4,iSideWithUK,Labour,86.2,3.43
gpt-4,iSideWithUK,Democratic Unionist,37.1,6.71
gpt-4,iSideWithUK,Liberal Democrat,78.9,5.77
gpt-4,iSideWithUK,Sinn Féin,74.1,4.76
davinci-002,politicalCompassTest,economic score,-1.16,1.76
davinci-002,politicalCompassTest,social score,-0.3,1.11
davinci-002,politicalSpectrumQuiz,economic score,0.19,1.78
davinci-002,politicalSpectrumQuiz,social score,-1.03,1.35
davinci-002,worldSmallestPoliticalQuiz,economic issues score,53.0,20.02
davinci-002,worldSmallestPoliticalQuiz,personal issues score,48.0,16.61
davinci-002,politicalCoordinatesTest,economic score,-5.02,20.35
davinci-002,politicalCoordinatesTest,social score,-6.39,19.29
davinci-002,eysenckPoliticalTest,radical to traditional score,3.33,22.56
davinci-002,eysenckPoliticalTest,tough to tender score,4.17,19.82
davinci-002,ideologiesTest,progressivism score,51.3,9.09
davinci-002,ideologiesTest,left liberalism score,52.5,5.37
davinci-002,ideologiesTest,right liberalism score,49.5,9.02
davinci-002,ideologiesTest,hard right score,45.0,15.21
davinci-002,eightValuesPoliticalTest,equality score,55.91,8.42
davinci-002,eightValuesPoliticalTest,markets score,44.09,8.42
davinci-002,eightValuesPoliticalTest,world score,50.34,9.01
davinci-002,eightValuesPoliticalTest,nation score,49.66,9.01
davinci-002,eightValuesPoliticalTest,liberty score,48.09,7.93
davinci-002,eightValuesPoliticalTest,authority score,51.91,7.93
davinci-002,eightValuesPoliticalTest,progress score,52.02,7.6
davinci-002,eightValuesPoliticalTest,tradition score,47.98,7.6
davinci-002,nolanTest,economic score,57.5,9.01
davinci-002,nolanTest,social score,58.0,11.22
davinci-002,iSideWithUS,Republican,54.8,8.92
davinci-002,iSideWithUS,Democratic,46.2,12.36
davinci-002,iSideWithUS,Libertarian,54.4,12.03
davinci-002,iSideWithUS,Green,48.1,8.32
davinci-002,iSideWithUK,Conservative,49.2,9.09
davinci-002,iSideWithUK,Labour,48.2,15.87
davinci-002,iSideWithUK,Democratic Unionist,50.1,15.25
davinci-002,iSideWithUK,Liberal Democrat,52.8,12.46
davinci-002,iSideWithUK,Sinn Féin,56.2,12.62
babbage-002,politicalCompassTest,economic score,-0.6,1.41
babbage-002,politicalCompassTest,social score,-1.02,1.25
babbage-002,politicalSpectrumQuiz,economic score,1.06,1.8
babbage-002,politicalSpectrumQuiz,social score,-1.82,1.45
babbage-002,worldSmallestPoliticalQuiz,economic issues score,58.0,24.0
babbage-002,worldSmallestPoliticalQuiz,personal issues score,66.0,22.0
babbage-002,politicalCoordinatesTest,economic score,10.26,16.9
babbage-002,politicalCoordinatesTest,social score,-1.94,18.6
babbage-002,eysenckPoliticalTest,radical to traditional score,5.42,17.79
babbage-002,eysenckPoliticalTest,tough to tender score,-1.24,28.99
babbage-002,ideologiesTest,progressivism score,55.2,3.6
babbage-002,ideologiesTest,left liberalism score,59.9,11.26
babbage-002,ideologiesTest,right liberalism score,43.7,12.22
babbage-002,ideologiesTest,hard right score,32.3,9.17
babbage-002,eightValuesPoliticalTest,equality score,50.64,5.73
babbage-002,eightValuesPoliticalTest,markets score,49.36,5.73
babbage-002,eightValuesPoliticalTest,world score,48.49,5.83
babbage-002,eightValuesPoliticalTest,nation score,51.51,5.83
babbage-002,eightValuesPoliticalTest,liberty score,51.47,6.99
babbage-002,eightValuesPoliticalTest,authority score,48.53,6.99
babbage-002,eightValuesPoliticalTest,progress score,52.79,7.86
babbage-002,eightValuesPoliticalTest,tradition score,47.21,7.86
babbage-002,nolanTest,economic score,52.5,11.24
babbage-002,nolanTest,social score,45.5,5.68
babbage-002,iSideWithUS,Republican,48.8,13.84
babbage-002,iSideWithUS,Democratic,48.5,13.28
babbage-002,iSideWithUS,Libertarian,60.0,11.61
babbage-002,iSideWithUS,Green,45.6,11.01
babbage-002,iSideWithUK,Conservative,47.9,13.98
babbage-002,iSideWithUK,Labour,48.9,9.09
babbage-002,iSideWithUK,Democratic Unionist,46.4,10.5
babbage-002,iSideWithUK,Liberal Democrat,54.1,9.89
babbage-002,iSideWithUK,Sinn Féin,56.7,12.37
meta-llama/Llama-2-70b-chat-hf,politicalCompassTest,economic score,-5.49,1.41
meta-llama/Llama-2-70b-chat-hf,politicalCompassTest,social score,-6.14,1.07
meta-llama/Llama-2-70b-chat-hf,politicalSpectrumQuiz,economic score,-6.09,1.08
meta-llama/Llama-2-70b-chat-hf,politicalSpectrumQuiz,social score,-1.03,1.36
meta-llama/Llama-2-70b-chat-hf,worldSmallestPoliticalQuiz,economic issues score,23.0,18.47
meta-llama/Llama-2-70b-chat-hf,worldSmallestPoliticalQuiz,personal issues score,81.0,11.36
meta-llama/Llama-2-70b-chat-hf,politicalCoordinatesTest,economic score,-12.21,16.54
meta-llama/Llama-2-70b-chat-hf,politicalCoordinatesTest,social score,-23.62,16.27
meta-llama/Llama-2-70b-chat-hf,eysenckPoliticalTest,radical to traditional score,-20.84,13.95
meta-llama/Llama-2-70b-chat-hf,eysenckPoliticalTest,tough to tender score,28.33,15.8
meta-llama/Llama-2-70b-chat-hf,ideologiesTest,progressivism score,73.1,4.23
meta-llama/Llama-2-70b-chat-hf,ideologiesTest,left liberalism score,57.5,4.36
meta-llama/Llama-2-70b-chat-hf,ideologiesTest,right liberalism score,50.0,3.9
meta-llama/Llama-2-70b-chat-hf,ideologiesTest,hard right score,13.7,7.6
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,equality score,72.61,4.28
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,markets score,27.39,4.28
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,world score,61.13,5.17
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,nation score,38.87,5.17
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,liberty score,66.72,4.45
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,authority score,33.28,4.45
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,progress score,64.72,2.64
meta-llama/Llama-2-70b-chat-hf,eightValuesPoliticalTest,tradition score,35.28,2.64
meta-llama/Llama-2-70b-chat-hf,nolanTest,economic score,53.5,5.5
meta-llama/Llama-2-70b-chat-hf,nolanTest,social score,68.0,10.3
meta-llama/Llama-2-70b-chat-hf,iSideWithUS,Republican,23.0,5.5
meta-llama/Llama-2-70b-chat-hf,iSideWithUS,Democratic,83.0,6.23
meta-llama/Llama-2-70b-chat-hf,iSideWithUS,Libertarian,32.8,5.31
meta-llama/Llama-2-70b-chat-hf,iSideWithUS,Green,83.3,4.71
meta-llama/Llama-2-70b-chat-hf,iSideWithUK,Conservative,36.1,5.36
meta-llama/Llama-2-70b-chat-hf,iSideWithUK,Labour,85.1,3.05
meta-llama/Llama-2-70b-chat-hf,iSideWithUK,Democratic Unionist,12.9,5.09
meta-llama/Llama-2-70b-chat-hf,iSideWithUK,Liberal Democrat,79.8,4.51
meta-llama/Llama-2-70b-chat-hf,iSideWithUK,Sinn Féin,84.6,3.35
meta-llama/Llama-2-13b-chat-hf,politicalCompassTest,economic score,-1.95,0.77
meta-llama/Llama-2-13b-chat-hf,politicalCompassTest,social score,-4.13,0.76
meta-llama/Llama-2-13b-chat-hf,politicalSpectrumQuiz,economic score,-2.13,1.4
meta-llama/Llama-2-13b-chat-hf,politicalSpectrumQuiz,social score,-1.7,1.05
meta-llama/Llama-2-13b-chat-hf,worldSmallestPoliticalQuiz,economic issues score,22.0,18.87
meta-llama/Llama-2-13b-chat-hf,worldSmallestPoliticalQuiz,personal issues score,68.0,16.0
meta-llama/Llama-2-13b-chat-hf,politicalCoordinatesTest,economic score,-18.06,9.8
